Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
David Soria,es ESP,GK,Getafe,27,28,2520,28,31,1.11,81,52,69.1,10,35.7,7,6,1,0,14.3,20/21
Marc-André ter Stegen,de GER,GK,Barcelona,28,31,2790,31,32,1.03,106,76,72.6,11,35.5,3,3,0,0,0,20/21
Tomáš Vaclík,cz CZE,GK,Sevilla,31,5,450,5,5,1,14,9,64.3,2,40,0,0,0,0,0,20/21
Iván Villar,es ESP,GK,Celta Vigo,23,21,1781,19.8,30,1.52,77,47,68.8,5,26.3,7,6,1,0,14.3,20/21
Rubén Yáñez,es ESP,GK,Getafe,26,10,900,10,12,1.2,30,18,63.3,4,40,1,1,0,0,0,20/21
Sergio Asenjo,es ESP,GK,Villarreal,32,6,540,6,9,1.5,28,19,71.4,0,0,1,1,0,0,0,21/22
Édgar Badía,es ESP,GK,Elche,29,24,2160,24,35,1.46,114,78,75.4,5,20.8,9,7,1,1,12.5,21/22
Yassine Bounou,ma MAR,GK,Sevilla,30,31,2790,31,24,0.77,100,75,78,13,41.9,4,2,1,1,33.3,21/22
Claudio Bravo,cl CHI,GK,Betis,38,17,1456,16.2,19,1.17,56,39,67.9,5,29.4,1,1,0,0,0,21/22
Cárdenas,es ESP,GK,Levante,24,24,2160,24,46,1.92,120,74,65,5,20.8,4,4,0,0,0,21/22
Kiko Casilla,es ESP,GK,Elche,34,14,1260,14,17,1.21,60,43,71.7,3,21.4,0,0,0,0,0,21/22
Jasper Cillessen,nl NED,GK,Valencia,32,17,1457,16.2,29,1.79,77,49,68.8,3,17.6,6,5,1,0,16.7,21/22
Thibaut Courtois,be BEL,GK,Real Madrid,29,36,3240,36,29,0.81,120,91,77.5,16,44.4,3,2,1,0,33.3,21/22
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,31,2772,30.8,37,1.2,126,88,76.2,9,30,9,7,2,0,22.2,21/22
Matías Dituro,ar ARG,GK,Celta Vigo,34,38,3420,38,43,1.13,136,91,71.3,14,36.8,8,4,4,0,50,21/22
Marko Dmitrović,rs SRB,GK,Sevilla,29,6,540,6,5,0.83,19,14,73.7,4,66.7,0,0,0,0,0,21/22
Aitor Fernández,es ESP,GK,Levante,30,13,1166,13,29,2.24,81,51,65.4,2,15.4,2,1,1,0,50,21/22
Sergio Herrera,es ESP,GK,Osasuna,28,36,3240,36,48,1.33,147,97,70.1,12,33.3,7,4,3,0,42.9,21/22
Jeremías Ledesma,ar ARG,GK,Cádiz,28,38,3420,38,51,1.34,170,117,76.5,13,34.2,13,11,2,0,15.4,21/22
Diego López,es ESP,GK,Espanyol,39,36,3177,35.3,49,1.39,157,110,70.7,9,25,4,3,0,1,0,21/22
Giorgi Mamardashvili,ge GEO,GK,Valencia,20,18,1620,18,20,1.11,75,55,76,8,44.4,2,2,0,0,0,21/22
Luís Maximiano,pt POR,GK,Granada,22,35,3136,34.8,55,1.58,177,122,71.8,7,20,7,5,2,0,28.6,21/22
Jan Oblak,si SVN,GK,Atlético Madrid,28,38,3420,38,43,1.13,106,65,66,12,31.6,8,7,1,0,12.5,21/22
Fernando Pacheco,es ESP,GK,Alavés,29,34,3053,33.9,60,1.77,148,85,62.8,5,14.7,8,5,3,0,37.5,21/22
Manolo Reina,es ESP,GK,Mallorca,36,21,1890,21,26,1.24,75,49,68,8,38.1,3,2,1,0,33.3,21/22
Álex Remiro,es ESP,GK,Real Sociedad,26,35,3150,35,32,0.91,112,79,75,19,54.3,5,4,1,0,20,21/22
Sergio Rico,es ESP,GK,Mallorca,27,14,1260,14,29,2.07,57,29,54.4,1,7.1,4,3,1,0,25,21/22
Gerónimo Rulli,ar ARG,GK,Villarreal,29,32,2880,32,28,0.87,100,72,75,14,43.8,4,3,1,0,25,21/22
Rui Silva,pt POR,GK,Betis,27,22,1964,21.8,21,0.96,76,55,75,8,38.1,2,2,0,0,0,21/22
Unai Simón,es ESP,GK,Athletic Club,24,34,3060,34,31,0.91,111,81,74.8,12,35.3,3,3,0,0,0,21/22
David Soria,es ESP,GK,Getafe,28,38,3414,37.9,41,1.08,132,91,70.5,13,34.2,4,2,1,1,33.3,21/22
Marc-André ter Stegen,de GER,GK,Barcelona,29,35,3150,35,34,0.97,109,74,70.6,11,31.4,3,2,1,0,33.3,21/22
Luca Zidane,fr FRA,GK,Rayo Vallecano,23,8,645,7.2,13,1.81,37,24,64.9,0,0,0,0,0,0,0,21/22
Julen Agirrezabala,es ESP,GK,Athletic Club,21,8,675,7.5,6,0.8,19,13,68.4,2,28.6,0,0,0,0,0,22/23
Sergio Asenjo,es ESP,GK,Valladolid,33,10,900,10,21,2.1,51,30,60.8,1,10,1,1,0,0,0,22/23
Édgar Badía,es ESP,GK,Elche,30,36,3240,36,63,1.75,200,136,72,4,11.1,10,7,3,0,30,22/23
Yassine Bounou,ma MAR,GK,Sevilla,31,25,2151,23.9,41,1.72,106,66,63.2,4,16,3,2,1,0,33.3,22/23
Claudio Bravo,cl CHI,GK,Betis,39,12,1080,12,9,0.75,42,33,81,4,33.3,1,1,0,0,0,22/23
Juan Carlos,es ESP,GK,Girona,34,10,900,10,18,1.8,43,25,62.8,0,0,2,2,0,0,0,22/23
Thibaut Courtois,be BEL,GK,Real Madrid,30,31,2790,31,29,0.94,118,88,78.8,10,32.3,5,4,1,0,20,22/23
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,37,3324,36.9,49,1.33,139,94,67.6,9,24.3,5,4,0,1,0,22/23
Marko Dmitrović,rs SRB,GK,Sevilla,30,15,1269,14.1,13,0.92,55,43,76.4,5,38.5,0,0,0,0,0,22/23
Aitor Fernández,es ESP,GK,Osasuna,31,21,1890,21,19,0.9,77,59,75.3,8,38.1,0,0,0,0,0,22/23
Álvaro Fernández,es ESP,GK,Espanyol,24,11,990,11,18,1.64,50,33,64,2,18.2,0,0,0,0,0,22/23
Fernando,es ESP,GK,Almería,32,37,3285,36.5,61,1.67,193,132,70.5,4,10.8,6,4,1,1,20,22/23
Paulo Gazzaniga,ar ARG,GK,Girona,30,28,2520,28,37,1.32,125,87,73.6,4,14.3,6,4,1,1,20,22/23
Ivo Grbić,hr CRO,GK,Atlético Madrid,26,12,922,10.2,12,1.17,48,36,81.3,2,20,3,3,0,0,0,22/23
Sergio Herrera,es ESP,GK,Osasuna,29,17,1530,17,23,1.35,71,48,69,3,17.6,4,1,1,2,50,22/23
Benjamin Lecomte,fr FRA,GK,Espanyol,31,10,899,10,14,1.4,40,27,65,1,10,0,0,0,0,0,22/23
Jeremías Ledesma,ar ARG,GK,Cádiz,29,34,3060,34,48,1.41,179,130,77.7,12,35.3,9,8,1,0,11.1,22/23
Andriy Lunin,ua UKR,GK,Real Madrid,23,7,630,7,7,1,18,12,61.1,3,42.9,0,0,0,0,0,22/23
Giorgi Mamardashvili,ge GEO,GK,Valencia,21,38,3420,38,45,1.18,148,105,70.9,7,18.4,5,2,0,3,0,22/23
Agustín Marchesín,ar ARG,GK,Celta Vigo,34,19,1710,19,29,1.53,72,42,62.5,6,31.6,4,2,2,0,50,22/23
Jordi Masip,es ESP,GK,Valladolid,33,28,2507,27.9,42,1.51,145,101,74.5,8,28.6,9,5,3,1,37.5,22/23
Jan Oblak,si SVN,GK,Atlético Madrid,29,28,2492,27.7,20,0.72,79,59,75.9,11,39.3,2,1,0,1,0,22/23
Fernando Pacheco,es ESP,GK,Espanyol,30,16,1440,16,33,2.06,88,54,67,3,18.8,5,4,1,0,20,22/23
Predrag Rajković,rs SRB,GK,Mallorca,26,36,3240,36,40,1.11,133,92,74.4,12,33.3,7,6,1,0,14.3,22/23
Pepe Reina,es ESP,GK,Villarreal,39,22,1980,22,27,1.23,87,61,73.6,5,22.7,4,4,0,0,0,22/23
Álex Remiro,es ESP,GK,Real Sociedad,27,38,3420,38,35,0.92,133,99,74.4,15,39.5,2,1,1,0,50,22/23
Gerónimo Rulli,ar ARG,GK,Villarreal,30,14,1260,14,10,0.71,56,46,82.1,7,50,0,0,0,0,0,22/23
Rui Silva,pt POR,GK,Betis,28,26,2340,26,32,1.23,104,73,71.2,9,34.6,2,2,0,0,0,22/23
Unai Simón,es ESP,GK,Athletic Club,25,31,2745,30.5,37,1.21,104,70,67.3,9,29,3,3,0,0,0,22/23
David Soria,es ESP,GK,Getafe,29,38,3420,38,45,1.18,166,119,75.3,13,34.2,8,4,4,0,50,22/23
Marc-André ter Stegen,de GER,GK,Barcelona,30,38,3347,37.2,18,0.48,98,83,84.7,26,68.4,3,3,0,0,0,22/23
Iván Villar,es ESP,GK,Celta Vigo,25,19,1710,19,24,1.26,62,38,66.1,4,21.1,4,3,0,1,0,22/23
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,MIN,4.1,3,0.48,14,9,50,0,0,0,0,0,0,0,
,,,,,,MAX,38,63,2.67,205,153,90,26,80,15,14,4,3,75,
